_date_,beer
1997Q1,7369
1997Q2,9464
1997Q3,9586
1997Q4,10193
1998Q1,7283
1998Q2,9748
1998Q3,8892
1998Q4,9837
1999Q1,7215
1999Q2,9032
1999Q3,9315
1999Q4,10265
2000Q1,6852
2000Q2,9070
2000Q3,8865
2000Q4,9785
2001Q1,6811
2001Q2,8972
2001Q3,8906
2001Q4,9939
2002Q1,7137
2002Q2,9305
2002Q3,8820
2002Q4,9879
2003Q1,7048
2003Q2,9286
2003Q3,9270
2003Q4,9896
2004Q1,7318
2004Q2,9485
2004Q3,8795
2004Q4,10043
2005Q1,7090
2005Q2,9087
2005Q3,8995
2005Q4,9730
2006Q1,6966
2006Q2,9500
2006Q3,8399
2006Q4,9582
2007Q1,6783
2007Q2,8835
2007Q3,8357
2007Q4,9180
2008Q1,6773
2008Q2,8481
2008Q3,7780
2008Q4,8448
2009Q1,6252
2009Q2,8063
2009Q3,7740
2009Q4,8159
2010Q1,5965
2010Q2,8361
2010Q3,7029
2010Q4,7795
2011Q1,5818
2011Q2,7630
2011Q3,7248
2011Q4,7781
2012Q1,5747
2012Q2,7204
2012Q3,6813
2012Q4,7268
2013Q1,5587
2013Q2,6863
2013Q3,7180
2013Q4,7368
2014Q1,5436
2014Q2,7434
2014Q3,6846
2014Q4,7373
2015Q1,5392
2015Q2,7055
2015Q3,7173
2015Q4,7349
2016Q1,5335
2016Q2,7168
2016Q3,6938
2016Q4,7282
2017Q1,5516
2017Q2,7239
2017Q3,6809
